,0,0,0,0,0
0,"""LG그룹 ERP 프로젝트 잡자""… 사활 건 SAP vs 오라클","계열사 90%이상 클라우드 전환 그룹 핵심 솔루션 ERP 단일화 본사 CEO 파격조건이 변수 될듯
""다 차지하지 못하면 전부를 잃는다.""



3000억~5000억원 규모로 추산되는 LG그룹 디지털 혁신 프로젝트를 앞두고, 글로벌 소프트웨어 기업인 SAP와 오라클이 정면대결을 벌인다. 일부 계열사는 SAP, 나머지는 오라클 ERP(전사적자원관리)를 쓰던 LG그룹이 ERP를 모두 단일화하기로 하고, 막판 저울질 작업이 한창이다. ERP는 인사·회계·구매 등 기업 핵심 업무시스템 처리에 쓰는 솔루션으로, 디지털 경쟁력과 언택트 수준을 좌우하는 핵심 시스템이다.



◇LG그룹, ERP 단일화 추진=업계에 따르면 LG그룹은 8월께 단일 ERP 솔루션을 결정할 예정이다. 2023년까지 LG전자, LG화학, LG디스플레이 등 계열사의 IT 시스템 90% 이상을 클라우드로 전환하면서 핵심 솔루션을 표준화하겠다는 취지다.



현재 LG화학, LG유플러스, LG생활건강 등 제조·통신기업들은 SAP의 ERP를, LG전자, LG디스플레이 등 전자부문은 오라클 ERP를 쓰고 있다. 삼성그룹이 삼성전자를 중심으로 SAP ERP로 통일해 쓰는 것과 대비된다.



LG전자는 2005년부터 1500억원을 투입해 오라클 ERP를 도입했다. 한국과 해외법인 ERP를 통합한 시스템을 2008년 1차 개통한 데 이어 2011년 1월 전면 가동했다. 이를 통해 생산, 구매, 영업, 재무 등 전체 경영자원과 정보를 단일 시스템 안에서 통합 관리하는 체계를 갖췄다. 당시에도 오라클과 SAP의 치열한 경쟁 끝에 오라클로 결정됐다. LG디스플레이 등 전자부문 계열사들도 오라클 제품을 사용하고 있다. 반면 LG화학은 2002년부터 20년 가까이 SAP ERP를 써 왔다. SAP R/3 솔루션을 써 오다 2007년 SAP ERP 6.0으로 업그레이드하면서 국내와 글로벌 업무시스템을 통일했다. LG유플러스, LG생활건강 등도 SAP을 사용해 왔다.



◇SAP vs 오라클, ""물러설 수 없는 싸움""= SAP와 오라클로서는 LG그룹 프로젝트를 물러설 수 없다. 특히 오라클으로서는 LG전자가 국내 최대 ERP 고객이고, 글로벌 시장에서도 대표적인 하이테크 제조기업으로 평가받고 있다. SAP도 20년 가까이 연을 이어온 LG그룹의 석유화학·배터리·통신·생활건강 고객사를 지키는 게 급선무다. 삼성그룹에 이어 국내 대표 그룹을 한꺼번에 고객으로 확보하느냐 모두 잃느냐 사할이 걸린 것이다.



최근 수천억대 ERP 수주경쟁은 국내뿐 아니라 글로벌에서도 드물다. ERP 변화는 전체 업무에 미치는 영향이 크다 보니 기업들이 쓰던 제품을 계속 쓰는 경우가 대부분이기 때문이다. 이번 승부에서 이기면 코로나19로 시장이 위축된 상황에서도, 수천억원 대의 사업 기회를 쥐는 것은 물론 석유화학·가전·디스플레이·배터리 등 하이테크 기업들을 한꺼번에 고객사로 확보하게 된다. ERP와의 연동이 필수인 DBMS(데이터베이스관리시스템) 시장도 잡을 수 있다. 과거에는 ERP와 DBMS가 별개로 도입됐지만 최근에는 ERP에서 데이터 처리방식과 속도가 중요해지면서 단일 플랫폼화하는 추세기 때문이다. 특히 LG그룹 프로젝트를 수주하면 최소 10년 가량은 연간 수백억에서 1000억원 내외의 유지보수 서비스 매출도 보장된다. ◇ERP 1위 SAP냐, 앙숙 오라클이냐= 국내외 ERP 시장에서는 SAP가 오라클에 우위에 있다. 이 때문에 이번 경쟁에서도 SAP가 우위를 점하고 있다는 얘기가 나온다. SAP가 국내는 물론 글로벌 ERP 시장에서도 1위 기업인 만큼, 글로벌 대표 기업의 업무방식과 프로세스가 솔루션에 담겼다. 국내에서도 LG전자·포스코·대한항공을 제외한 대부분의 대기업이 SAP ERP를 사용하고 있다.



◇""CEO 결정이 승부 가른다""=8월께 최종 발표가 나올 것으로 알려진 가운데 업계에서는 15년 전과 마찬가지로 SAP와 오라클 본사 CEO가 어떤 승부카드를 던지느냐가 승부의 분수령이 될 것이란 관측을 내놓고있다. 전략적으로 중요한 고객을 잡기 위해 누가 더 파격적인 조건을 내거느냐가 막판 변수가 될 수 있다는 것. 외산 솔루션 기업의 한 관계자는 ""이 정도 규모의 프로젝트 영업은 한국법인이 아닌 본사 차원의 싸움""이라 면서 ""크리스찬 클라인 SAP 본사 CEO와 래리 엘리슨 오라클 창업자 겸 CEO가 어떤 전략을 취하느냐가 마지막까지 결과에 영향을 줄 것으로 보인다""고 말했다.



안경애기자 naturean@dt.co.kr",안경애,디지털타임스,2020/6/30
1,'형제의 난' 가능성에...한국테크놀로지그룹 장중 상한가,,심우일 기자,서울경제,2020/6/30
2,"비대면 기업 뜨고, 항공·여행 하락","신종 코로나바이러스 감염증(코로나19) 사태로 네이버, 구글, 카카오 등 비대면 서비스 기업의 브랜드 가치가 크게 오른 것으로 나타났다. 반면 여행, 항공 등 대면 위주의 브랜드는 하락했다.


브랜드가치 평가회사인 브랜드스탁이 30일 발표한 ‘2020 2분기 대한민국 100대 브랜드’에서 네이버와 구글은 지난 분기 대비 각각 2계단 상승하며 3위와 10위에 올랐다. 온라인 쇼핑 대표 브랜드인 G마켓은 처음으로 10위권에 진입했고, 11번가(19위) 쿠팡(20위) 옥션(25위) 등 순위가 상승했다. 온라인 학습 서비스의 선도 기업인 웅진씽크빅 순위가 26계단 상승한 73위를 기록했다.

코로나19 장기화로 집에 머무는 시간이 늘면서 생활가전 브랜드 가치가 대부분 상승했다. 삼성 무풍에어컨(13위)과 LG 휘센(15위) 등이 상승세를 보였다. 삼성 QLED TV(26위), 바디프랜드(28위), 삼성 비스포크(61위), 딤채(71위) 등 각 부문의 대표 브랜드는 일제히 순위가 올랐다. 신라면, 참이슬의 브랜드 가치는 집밥과 ‘홈술’ 트렌드가 확산하며 각각 5위, 16위를 기록했다.

항공 유통 여행 등의 업종은 위기가 반영됐다. 대한항공은 54위까지 순위가 하락했고, 아시아나항공 72위로 밀려났다. 지난 5년간 10위권에 주로 머물던 인천공항은 12위로 떨어졌다. 유통 대표 브랜드인 이마트와 하나투어 역시 브랜드 가치가 하락했다. 하나투어는 지난 분기 대비 11계단 내려가 35위로 밀려났다.

김보라 기자 destinybr@hankyung.com",김보라(destinybr@hankyung.com);,한국경제,2020/6/30
3,"[단독] ""청년주택 보증금 20%만 들고와라""","서울시가 청년 주거 문제 해결 방안으로 제시한 역세권 청년주택 무이자 보증금 지원을 확대한다. 버팀목대출·중소기업청년전세자금대출 등 기금 대출을 중복해서 받을 수 없어 매력이 떨어진다는 점을 보완한다는 취지에서다. 다만 늘어난 보증금 지원은 서울시 재정으로 이뤄져 세 부담이 가중될 것이라는 비판도 제기된다.
30일 서울시 고위 관계자에 따르면 역세권 청년주택 무이자 보증금 지원 비율을 기존 50%에서 최대 80%로 확대하는 방향으로 내부 검토를 마쳤다.
이번 서울시 결정으로 역세권 청년주택에 입주하는 청년은 보증금의 20%만 준비하면 돼 경제적 부담이 줄어들 전망이다. 서울시는 역세권 청년주택 입주 예정자를 대상으로 보증금 1억원 이하는 최대 50%까지 무이자로 보증금을 지원해왔다.
장한평 역세권 청년주택의 경우 전용면적 14.5㎡ 기준 보증금이 4900만원(관리비 월 7만~8만원 별도)이라 2450만원을 직접 마련해야 했다. 앞으로는 보증금의 20%인 980만원만 갖추면 보증금 문제를 해결할 수 있게 된다.
서울시 지원 확대는 기금 대출 중복 신청 불가로 청년들이 주거비를 온전히 마련하지 못하는 데서 비롯됐다. 시에서 운영하는 무이자 보증금 지원을 받으면 기금 대출인 버팀목전세자금대출, 중소기업청년전세자금대출을 받을 수 없다. 즉 나머지 보증금을 직접 마련하거나 최대 3.7%에 달하는 은행권 대출 이자를 감당해야 해야 하는 것이다. 이 때문에 입주 1순위인 월 270만원 이하 소득자가 시 지원을 받고도 입주하지 못하는 상황이 발생했다.
그러나 늘어난 보증금은 시 재정으로 충당해야 하므로 복지 비용이 커질 것도 우려된다. 서울시는 최근 대한항공 송현동 용지 매입(약 4671억원), 장기 미집행 도시공원 매입(약 12조원) 등 곳간 지출을 예고했기 때문이다.
서울시 관계자는 ""시 재정에 과도한 부담이 되지 않게끔 보증금 지원에 나설 것""이라고 했다.
주거복지 차원에서 이뤄지는만큼 입주 자격인 선순위 소득 기준도 다시 들여다 볼 전망이다. 특별공급의 경우 1순위는 월 270만원 이하(전년도 도시근로자(3인 이하) 월평균 소득 50% 이하) 소득자가 대상이다. 하지만 2순위의 경우 월 540만원 이하 소득자도 신청할 수 있어 공무원·금융권 종사자들이 입주하게 됐다.
역세권 청년주택은 경제적 기반이 부족한 청년이 직장과 주거를 한번에 해결할 수 있도록 역세권에 짓는 주택을 말한다. 유형별로는 공공임대(시세 30% 수준), 민간임대 특별공급(시세 85% 수준), 일반공급(시세 95% 수준)으로 나뉜다.
[이축복 기자]",이축복,매일경제,2020/6/30
4,"대한항공, 특별관계자 지분변동 예외",,스톡봇,국민일보,2020/6/30
5,효성첨단소재 240억원 규모 채무보증 결정 예외,"효성첨단소재는 계열회사인 Hyosung Quang Nam Co,. Ltd.가 Vietin Bank Nhon Trach Branch으로부터 빌린 240억원에 대해서 채무보증을 결정했다고 30일 공시했다.

채무보증 금액은 자기자본(4054억원) 대비 5.92% 수준이며, 보증 기간은 2021년 6월 30일까지다.

한편, 효성첨단소재는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 114,000원, 거래량은 105,314주로, 직전 거래일 대비 1,500원(+1.33%) 상승했다.

공시 전문으로 이동

스톡봇 기자

※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.",스톡봇,국민일보,2020/6/30
6,장 중 기업공시[6월 30일] 예외,"<유가 증권>

▲한국테크놀로지그룹(000240)=최대주주 조양래 외 12명에서 조현범 외 11명으로 변경 ▲유성기업(002920)=최철규 대표이사 사임 ▲유니켐(011330)=종속회사 유니골프앤리조트에서 삼승엘앤디로부터 180억원에 골프장 및 콘도미니엄 조성사업 관련 부동산 및 사업권 일체 양수 ▲청호컴넷(012600)=발주처 요청에 따라 농협은행과의 2018년도 자동화기기 도입 공급계약 기간 2020년 6월30일에서 2020년 12월10일로 연장 ▲한화시스템(272210)=계열회사 한화디펜스와 1,520억원 규모 천마외주장비 공급계약 체결 및 한성에스앤아이 등 6개사에 선급금 388억원 지급 결정 ▲풍산(103140)=계열회사 PMX Industries Inc.에 360억2,100만원 채무보증 결정 ▲티에이치엔(019180)=대구국가산업단지 내에 122억원 규모 통합제어기 공장 신규시설투자 ▲아시아나항공(020560)=제92회 무기명식 무보증 사모 전환사채 전환가액 8,165원에서 7,495원으로 조정 및 제93회 무기명식 무보증 사모 전환사채 전환가액 5,834원에서 5,658원으로 조정 ▲현대로템(064350)=방위사업청과 2,366억원 규모 장애물개척전차 후속양산작업 계약 체결 ▲현대건설(000720)=미래에셋대우와 현대건설 우선주 유동성공급계약 2021년 7월3일까지 연장 <30일>

<코스닥>

▲메지온(140410)=유데나필(Udenafil) 신약허가신청 ▲코닉글로리(094860)=최대주주 조명제에서 Joy Friends Pte Ltd.외 2인으로 변경 및 사내이사 리 장 선임의 건 등과 관련해 임시주주총회 소집 결의 ▲SBI핀테크솔루션즈(950110)=보통주 60만8,500주 20억6,975만원에 소각 결정 ▲이엠앤아이(083470)=유건상씨로부터 위약벌 청구 재판 피소 ▲제이웨이(058420)=박종오 사외이사 신규 선임 ▲엑시콘(092870)=반도체 테스트 보드 냉각 시스템 특허권 취득 및 PCle 테스트장치 특허권 취득 ▲티라유텍(322180)=29억4,700만원 규모 대한항공 항공우주사업본부 생산관리시스템 구축 계약 체결 ▲와이제이엠게임즈(193250)=한국투자증권·하이투자증권과의 최대주주 변경을 수반하는 주식 담보제공 계약 해제 결정 ▲에스텍파마(041910)=이기원 사외이사 중도퇴임 ▲아이엠텍(226350)=대출원리금 43억원 연체사실 발생 ▲세코닉스(053450)=코로나19 사태 매출 감소로 인한 대여금 상환 위해 폴란드법인 67억원 금전대여 결정 ▲플리토(300080)=한국정보화진흥원 인공지능 학습용 데이터 구축사업 선정 ▲AP위성(211270)=135억원 규모 다목적실용위성 7A호 탑재체 기기자료처리장치 개발 계약 체결 <30일>
/심우일기자 vita@sedaily.com",심우일 기자,서울경제,2020/6/30
7,"한진칼 3000억 BW, 청약 시장 흥행세 이어갈까","[머니투데이 강민수 기자]


한진칼이 이날부터 3000억원 규모 분리형 BW(신주인수권부사채) 공모 청약에 나섰다. 경영권 분쟁으로 신주인수권 가격 급등이 기대되는데다 최근 청약 시장이 흥행세가 이어지며 이번 BW 청약에도 큰 관심이 쏠리고 있다.

30일 증권업계에 따르면 한진그룹 지주사인 한진칼은 이날부터 다음 달 1일까지 3000억원 규모의 분리형 BW 공모발행 청약을 진행한다. 대표주관회사는 유진투자증권이다. 사채의 표면이자율은 연 2.0%, 만기이자율은 3.75%다. 만기일은 2023년 7월 3일이다. 신주행사가액은 8만2500원으로, 이날 종가(8만200원)보다 2.87% 높다.

이번 BW 발행 배경은 대한항공의 유상증자 참여로 인한 재원 마련이다. 앞서 대한항공은 코로나19(COVID-19)로 인한 유동성 위기에 대응하기 위해 지난달 1조1600억원 규모의 주주배정 유상증자를 결정했다. 지난 17일 기준 한진칼의 대한항공 지분은 29.62%로, 유상증자 참여를 위해선 3400억원가량의 자금이 필요하다. 지난 3월 말 기준 한진칼의 현금성자산은 1241억원에 불과하다.

한진칼 제7기 정기 주주총회가 열리는 27일 오전 서울 중구 한진빌딩의 모습. / 사진=김휘선 기자 hwijpg@
한진칼처럼 시가총액 4조원이 넘는 대형주가 BW 공모발행을 하는 일은 흔치 않다. 보통은 유상증자나 회사채 발행을 통해 자금을 조달한다. 그러나 주주배정 유상증자를 하기엔 조원태 한진칼 회장 등 대주주 일가 지분율이 3자연합(조현아·KCGI·반도건설)에 못 미치는데다, 회사채를 발행하기에는 신용등급이 높지 않아(BBB) 메자닌을 통한 자금조달에 나섰다는 분석이 나온다.

한국신용평가는 지난 11일 한진칼 BW의 신용등급을 BBB로 부여하고, 와치리스트(하향검토)를 연장하며 ""항공기, 물류인프라 등에 대한 투자로 계열사의 재무부담이 높다""며 ""대한항공 유상증자 참여로 차입부담이 확대될 것""이라고 전망했다.

회사채보다 자금조달 비용이 적다는 점도 있다. 한국자산평가에 따르면 29일 기준 무보증 3년만기 공모 회사채 금리는 6.116%로, 이번 BW 만기이자율(3.75%)보다 2%가량 높다.

한진칼 제7기 정기 주주총회가 열린 27일 오전 서울 중구 한진빌딩에서 직원들이 출근을 하고 있다. / 사진=김휘선 기자 hwijpg@
한진칼 BW 발행은 투자자들의 뜨거운 관심을 받고 있다. 경영권 분쟁의 중심에 선 한진칼의 신주인수권 가치가 높아질 가능성이 크다 보니 시세 차익이 기대되면서다. 양지환 대신증권 연구원은 ""다음달 16일 상장되는 신주인수권의 가치는 이론가격보다 급등할 가능성이 높다""며 ""조원태 회장 측이나 3자연합에서 신주인수권을 많이 확보할수록 경영권 분쟁에서 유리하기 때문에 수요가 상당 수 있을 것""이라고 분석했다. 이론가격은 1만5751원이다.

현재 3자연합의 지분율은 45.23%, 조원태 회장 측 지분율은 41% 내외로 추정된다. BW 발행으로 늘어나는 지분은 최대 5.3%(현재 발행주식 수 대비)로, 양측의 신주인수권 매입에 따라 뒤집힐 수 있는 상황이다. 주가 하락 시 최대 70%까지 조정되는 리픽싱(행사 가액 조정) 조건 등도 투자자에 유리하다.

최근 청약시장의 흥행 여파에 따른 영향도 있다. SK바이오팜 공모주 청약에는 무려 31조원에 달하는 증거금이 몰렸고, 현대로템 CB(전환사채) 일반청약에는 1655억원 모집에 7조8986억원이 모였다. 김동선 유진투자증권 챔피언스라운지 PB(프라이빗뱅커)는 ""BBB등급의 분리형 신주인수권부사채가 공모로 발행되는 일은 몇 년에 한 번 있을 법한 일""이라며 ""여타 BW 발행 기업에 비교해 신용등급도 높고, 워낙 큰 회사다 보니 기관투자자나 운용사뿐만 아니라 개인들도 관심이 많다""고 말했다.

김 PB는 ""BW 시장은 공모주보다 청약한도가 높고, 수익구조도 어려워 일반 개인들보다 고액자산가들이 많다""며 ""이번 청약에는 웬만한 기관들도 참여하려 할 것""이라고 덧붙였다.",강민수|기자|,머니투데이,2020/6/30
8,"코닉글로리, 최대주주 변경 주식양수도 계약 체결","[헤럴드경제=증권부] 코닉글로리는 최대주주 조명제와 JOY FRIENDS PTE LTD 외 2인이 최대주주 변경을 수반하는 주식양수도 계약을 체결했다고 30일 공시했다.

양수도 주식수는 472만2467주, 양수도대금은 125억37만원이다.

최대주주 변경 예정일자는 8월 19일이며 예정 소유비율은 4.76%(240만8740주)이다.



totoro@heraldcorp.com",김지현1 기자,헤럴드경제,2020/6/30
9,"티라유텍, 29억 규모 공급계약 체결",,구은모,아시아경제,2020/6/30
