년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2020/10/30,"290,000","-8,500","939,833","275,981,100,000","299,000","300,000","290,000","47,636,385","164,263,395"
2020/10/29,"298,500",0,"785,050","234,069,798,000","297,000","301,000","294,500","49,032,623","164,263,395"
2020/10/28,"298,500","15,000","698,195","204,354,898,000","282,000","298,500","281,500","49,032,623","164,263,395"
2020/10/27,"283,500","2,000","2,071,432","592,567,560,000","281,500","288,500","280,500","46,568,672","164,263,395"
2020/10/26,"281,500","-5,000","349,163","98,886,894,500","286,500","289,000","281,500","46,240,146","164,263,395"
2020/10/23,"286,500","-6,500","451,654","130,367,453,000","295,500","295,500","286,000","47,061,463","164,263,395"
2020/10/22,"293,000","-4,500","416,425","122,387,518,500","295,000","296,000","292,000","48,129,175","164,263,395"
2020/10/21,"297,500","7,500","640,501","190,068,789,500","292,500","301,000","291,000","48,868,360","164,263,395"
2020/10/20,"290,000","4,000","535,870","153,114,238,000","286,500","291,000","281,000","47,636,385","164,263,395"
2020/10/19,"286,000","-7,500","434,420","126,233,192,500","293,500","296,500","286,000","46,979,331","164,263,395"
2020/10/16,"293,500","1,000","446,832","131,388,850,500","292,500","297,500","291,500","48,211,306","164,263,395"
2020/10/15,"292,500","-6,000","624,097","183,437,635,000","300,500","300,500","291,000","48,047,043","164,263,395"
2020/10/14,"298,500","3,500","759,464","226,919,223,000","295,000","301,000","293,000","49,032,623","164,263,395"
2020/10/13,"295,000","3,000","636,487","187,811,627,000","292,000","298,000","292,000","48,457,702","164,263,395"
2020/10/12,"292,000","-9,000","914,860","271,287,018,750","303,000","303,000","291,500","47,964,911","164,263,395"
2020/10/08,"301,000","-4,000","756,735","228,655,143,000","307,500","307,500","300,000","49,443,282","164,263,395"
2020/10/07,"305,000",0,"534,644","161,652,795,000","302,000","305,000","299,500","50,100,335","164,263,395"
2020/10/06,"305,000","6,500","868,540","262,495,639,000","299,500","307,500","296,500","50,100,335","164,263,395"
2020/10/05,"298,500","2,000","906,516","267,077,969,500","297,500","299,000","289,500","49,032,623","164,263,395"
2020/09/29,"296,500","-2,000","765,489","227,159,509,500","303,000","303,000","294,000","48,704,097","164,263,395"
2020/09/28,"298,500","3,500","724,465","216,677,244,200","297,000","302,000","296,000","49,032,623","164,263,395"
2020/09/25,"295,000","1,000","648,182","190,145,908,500","296,000","297,500","289,500","48,457,702","164,263,395"
2020/09/24,"294,000","-2,500","848,971","247,261,094,500","291,500","295,500","287,000","48,293,438","164,263,395"
2020/09/23,"296,500","12,000","984,136","287,769,901,500","290,000","298,000","285,500","48,704,097","164,263,395"
2020/09/22,"284,500","-7,500","864,846","247,453,709,000","290,500","295,000","282,000","46,732,936","164,263,395"
2020/09/21,"292,000","-6,000","656,024","194,380,094,500","297,000","301,500","292,000","47,964,911","164,263,395"
2020/09/18,"298,000","-2,500","750,488","224,009,191,452","299,500","302,000","296,000","48,950,492","164,263,395"
2020/09/17,"300,500","-6,500","823,516","247,808,408,500","302,500","304,000","299,000","49,361,150","164,263,395"
2020/09/16,"307,000","-5,000","696,219","214,032,765,500","311,500","312,000","306,000","50,428,862","164,263,395"
2020/09/15,"312,000","9,000","797,985","247,446,069,000","304,000","314,000","303,000","51,250,179","164,263,395"
2020/09/14,"303,000","-3,000","608,816","183,968,356,000","307,500","308,000","300,000","49,771,809","164,263,395"
2020/09/11,"306,000","-1,500","517,023","156,744,682,500","302,500","307,000","301,000","50,264,599","164,263,395"
2020/09/10,"307,500","3,000","834,946","256,821,117,500","309,000","311,000","305,000","50,510,994","164,263,395"
2020/09/09,"304,500","-6,500","925,825","282,302,689,500","303,000","307,000","300,000","50,018,204","164,263,395"
2020/09/08,"311,000","-3,500","989,171","307,561,928,000","316,000","318,000","305,500","51,085,916","164,263,395"
2020/09/07,"314,500","-14,000","1,308,247","414,431,872,000","325,500","325,500","313,500","51,660,838","164,263,395"
2020/09/04,"328,500","-10,500","1,174,337","386,839,673,000","322,500","335,000","322,000","53,960,525","164,263,395"
2020/09/03,"339,000","6,500","776,547","260,315,239,000","333,500","339,500","329,500","55,685,291","164,263,395"
2020/09/02,"332,500","8,000","808,064","267,179,697,500","332,500","335,500","327,000","54,617,579","164,263,395"
2020/09/01,"324,500","2,000","691,864","224,807,032,500","322,500","329,500","322,000","53,303,472","164,263,395"
2020/08/31,"322,500","-10,500","1,528,978","501,802,488,500","336,500","340,000","322,000","52,974,945","164,263,395"
2020/08/28,"333,000","-4,000","969,408","322,883,401,000","337,000","338,500","329,500","54,699,711","164,263,395"
2020/08/27,"337,000","3,000","1,232,239","420,457,471,000","337,000","347,000","336,500","55,356,764","164,263,395"
2020/08/26,"334,000","9,000","1,155,853","385,114,088,000","321,500","338,500","321,000","54,863,974","164,263,395"
2020/08/25,"325,000","5,000","897,649","288,283,649,500","323,000","325,000","317,000","53,385,603","164,263,395"
2020/08/24,"320,000","7,500","783,392","248,511,604,000","313,000","320,000","310,000","52,564,286","164,263,395"
2020/08/21,"312,500","7,000","781,961","243,883,950,000","311,500","314,500","308,000","51,332,311","164,263,395"
2020/08/20,"305,500","-9,500","1,186,809","369,136,184,500","315,000","319,000","302,500","50,182,467","164,263,395"
2020/08/19,"315,000","7,500","941,038","294,012,490,000","311,500","316,000","305,500","51,742,969","164,263,395"
2020/08/18,"307,500","2,500","1,494,966","466,796,799,500","307,500","317,500","305,000","50,510,994","164,263,395"
2020/08/14,"305,000","-2,000","608,156","185,401,362,500","305,000","308,500","303,000","50,100,335","164,263,395"
2020/08/13,"307,000","2,000","1,406,370","431,869,653,500","310,000","311,500","304,000","50,428,862","164,263,395"
2020/08/12,"305,000","-6,500","856,711","262,002,347,000","308,000","311,000","303,500","50,100,335","164,263,395"
2020/08/11,"311,500","-2,000","665,863","207,633,464,500","311,000","314,500","307,500","51,168,048","164,263,395"
2020/08/10,"313,500",-500,"968,592","300,186,814,500","308,500","314,500","303,500","51,496,574","164,263,395"
2020/08/07,"314,000","-8,000","1,063,254","337,762,914,000","324,500","325,500","312,000","51,578,706","164,263,395"
2020/08/06,"322,000","8,500","1,032,045","327,503,268,500","313,000","322,000","310,500","52,892,813","164,263,395"
2020/08/05,"313,500","2,500","809,939","252,510,658,244","312,000","314,500","306,500","51,496,574","164,263,395"
2020/08/04,"311,000","-3,500","1,330,818","416,681,747,984","317,500","322,000","307,500","51,085,916","164,263,395"
2020/08/03,"314,500","13,500","1,341,104","414,200,187,952","301,500","314,500","299,000","51,660,838","164,263,395"
2020/07/31,"301,000","7,000","1,567,503","470,401,573,500","299,000","303,000","296,500","49,443,282","164,263,395"
2020/07/30,"294,000","2,000","1,150,474","337,799,333,500","296,000","297,500","291,000","48,293,438","164,263,395"
2020/07/29,"292,000","4,000","964,066","277,837,840,500","286,000","292,000","283,000","47,964,911","164,263,395"
2020/07/28,"288,000","3,500","978,238","282,133,831,000","289,500","292,000","284,000","47,307,858","164,263,395"
2020/07/27,"284,500","3,500","691,075","196,092,854,000","281,000","287,500","276,500","46,732,936","164,263,395"
2020/07/24,"281,000","-3,000","1,233,584","349,350,239,000","281,000","290,500","278,500","46,158,014","164,263,395"
2020/07/23,"284,000","14,000","1,396,607","392,799,798,000","272,000","284,000","271,000","46,650,804","164,263,395"
2020/07/22,"270,000",0,"905,784","242,469,605,000","264,000","272,500","261,500","44,351,117","164,263,395"
2020/07/21,"270,000","7,000","1,179,638","319,522,573,500","273,000","273,500","269,000","44,351,117","164,263,395"
2020/07/20,"263,000","-13,000","1,556,415","412,991,664,000","276,500","278,000","260,500","43,201,273","164,263,395"
2020/07/17,"276,000","3,000","926,932","255,308,206,000","270,000","279,500","266,000","45,336,697","164,263,395"
2020/07/16,"273,000","-13,500","1,338,814","370,524,116,500","283,000","285,000","272,000","44,843,907","164,263,395"
2020/07/15,"286,500",-500,"1,276,196","365,508,952,000","290,500","293,000","280,500","47,061,463","164,263,395"
2020/07/14,"287,000","-10,000","1,360,849","391,150,174,500","290,000","291,000","285,000","47,143,594","164,263,395"
2020/07/13,"297,000","-2,000","1,254,800","371,275,963,500","303,500","303,500","288,000","48,786,228","164,263,395"
2020/07/10,"299,000","11,500","2,120,904","636,152,069,000","291,500","308,500","290,000","49,114,755","164,263,395"
2020/07/09,"287,500","5,000","2,006,662","580,638,013,000","286,500","296,500","284,500","47,225,726","164,263,395"
2020/07/08,"282,500","3,000","1,353,345","379,185,499,050","280,000","284,500","274,000","46,404,409","164,263,395"
2020/07/07,"279,500","-2,000","1,365,047","387,292,509,500","285,000","289,500","279,000","45,911,619","164,263,395"
2020/07/06,"281,500","4,000","1,211,636","343,377,555,500","278,000","287,500","278,000","46,240,146","164,263,395"
2020/07/03,"277,500",500,"971,940","270,001,585,250","276,500","280,500","274,500","45,583,092","164,263,395"
2020/07/02,"277,000","8,000","1,015,829","278,931,268,000","274,000","277,000","271,000","45,500,960","164,263,395"
2020/07/01,"269,000","2,000","655,711","177,471,989,500","270,000","275,000","266,000","44,186,853","164,263,395"
2020/06/30,"267,000","3,000","862,860","230,249,229,500","268,000","270,500","263,000","43,858,326","164,263,395"
2020/06/29,"264,000","-5,000","814,814","216,894,244,500","265,000","270,500","261,000","43,365,536","164,263,395"
2020/06/26,"269,000",-500,"937,593","252,348,629,500","274,500","275,000","263,000","44,186,853","164,263,395"
2020/06/25,"269,500","-9,500","1,196,267","325,381,436,500","273,500","276,500","269,500","44,268,985","164,263,395"
2020/06/24,"279,000","3,000","995,065","274,364,135,500","273,500","279,500","270,500","45,829,487","164,263,395"
2020/06/23,"276,000","6,000","2,104,075","588,370,997,500","272,000","289,000","270,500","45,336,697","164,263,395"
2020/06/22,"270,000","20,500","1,841,479","485,816,124,704","249,500","271,500","247,500","44,351,117","164,263,395"
2020/06/19,"249,500","2,000","919,945","227,162,727,456","250,000","250,000","244,000","40,983,717","164,263,395"
2020/06/18,"247,500","-3,500","744,330","185,524,270,000","251,500","254,000","247,000","40,655,190","164,263,395"
2020/06/17,"251,000","7,500","1,357,900","337,948,312,500","244,000","252,000","243,500","41,230,112","164,263,395"
2020/06/16,"243,500","12,000","1,155,474","278,620,560,000","239,000","243,500","236,000","39,998,137","164,263,395"
2020/06/15,"231,500","-10,500","1,311,773","312,066,561,500","240,000","244,500","230,500","38,026,976","164,263,395"
2020/06/12,"242,000","1,500","1,318,334","312,801,430,152","229,000","242,500","228,500","39,751,742","164,263,395"
2020/06/11,"240,500","-3,500","1,423,978","346,203,593,500","244,000","249,000","239,000","39,505,346","164,263,395"
2020/06/10,"244,000","6,500","1,431,071","349,337,389,500","241,000","247,500","240,000","40,080,268","164,263,395"
2020/06/09,"237,500","-3,000","934,440","222,810,393,500","240,000","243,000","235,500","39,012,556","164,263,395"
2020/06/08,"240,500","9,500","1,624,752","386,413,276,924","234,500","242,000","231,000","39,505,346","164,263,395"
2020/06/05,"231,000","-1,500","1,061,922","242,026,503,257","229,000","231,000","225,000","37,944,844","164,263,395"
2020/06/04,"232,500","7,000","1,052,789","243,731,307,500","228,000","235,000","227,000","38,191,239","164,263,395"
2020/06/03,"225,500","-8,500","1,476,614","336,214,347,000","235,000","235,500","225,000","37,041,396","164,263,395"
2020/06/02,"234,000","-3,000","689,584","161,138,696,500","235,000","236,000","232,000","38,437,634","164,263,395"
2020/06/01,"237,000","11,000","1,140,644","267,471,360,500","233,500","237,000","230,000","38,930,425","164,263,395"
2020/05/29,"226,000","-14,500","3,114,298","714,990,175,761","240,000","243,000","226,000","37,123,527","164,263,395"
2020/05/28,"240,500","12,000","1,625,154","379,140,893,000","226,000","241,000","222,000","39,505,346","164,263,395"
2020/05/27,"228,500","-10,500","1,351,505","310,510,598,540","231,000","234,500","226,500","37,534,186","164,263,395"
2020/05/26,"239,000","-2,000","1,568,016","373,024,854,000","244,000","246,000","230,000","39,258,951","164,263,395"
2020/05/25,"241,000","10,500","1,015,069","241,341,938,500","234,500","241,000","234,000","39,587,478","164,263,395"
2020/05/22,"230,500","5,500","1,108,281","253,944,629,000","227,000","232,500","222,500","37,862,713","164,263,395"
