,0,0,0,0,0
0,포스코까지?…'코로나19'가 바꾼 회사생활,"[아시아경제 박소연 기자] 다음달 2일부터 신종 코로나바이러스감염병(코로나19) 확산 방지를 위해 포스코 본사인 포스코센터 임직원들이 교대근무를 실시한다. 기간산업이자 보수적인 기업문화를 유지해온 포스코로선 매우 이례적인 조치다.

주요 기업들은 코로나19 확산에 따른 피해를 방지하기 위해 재택근무를 도입하거나 출퇴근 시간을 유연하게 했다.

사업장이 마비되는 사태를 피하기 위한 선제조치이지만 근태를 강조해온 과거 문화와는 다른 모습이다.

공유좌석제와 원격업무 시스템 등을 도입하며 근무환경 유연화를 이미 추진한 기업들은 상대적으로 준비가 많이 돼 있어 이번에 대처가 빠른 것으로 보인다.

일부 기업들은 아예 전 직원이 재택근무를 하고 사옥이 폐쇄돼도 큰 잡음이 나오지 않는다.

그러나 기반이 갖춰지지 않은 중소기업 등은 전전긍긍할 뿐 대응이 어려운 상황이다. 일부에선 연차휴가 사용을 강제해서 반발이 나오기도 한다.

현대·기아차는 27일부터 본사 등 서울 경기지역 근무자를 대상으로 자율적 재택근무를 한다. 일단 다음 달 6일까지다.

계열사인 현대모비스는 일반 직원들은 아예 절반씩 나눠서 격일 재택근무를 한다. 사스(SARS·중증급성호흡기증후군)나 메르스(MERS·중동호흡기증후군) 때도 없던 일로, 창사 이래 처음이다.

SK그룹은 25일부터 SK㈜와 SK이노베이션, SK텔레콤, SK E&S, SK네트웍스, SK실트론 등에서 필수 인력을 제외하고 재택근무를 한다. SK하이닉스는 임신부 직원에게 다음 달 8일까지 2주간 특별휴가를 줬다.

삼성그룹은 다음 달 1일까지 전 계열사에서 임산부 직원이 재택근무를 한다.

LG그룹은 임산부 직원은 기간을 정하지 않고 재택근무하고 어린 자녀를 둔 직원들은 돌봄휴가를 사용토록 했다.

또 계열사별로 사정에 맞춰서 기간과 형태를 정하도록 해서 LG상사는 27일부터 다음 달 4일까지 본사 임직원 90%가 재택근무를 한다.

롯데지주는 27일부터 다음 달 18일까지 3주간 재택근무를 한다. 팀별로 3개조로 나눠서 팀별로 3분의 2가 사무실로 나오는 형태다.

대한항공도 27일부터 다음 달 4일까지 재택근무를 한다. 임신부는 필수이고 일반 직원은 자율이다.

두산그룹은 다음 달 6일까지 출퇴근 시간을 자율로 하는 등 유연근무제를 확대 운영하고 가능한 경우 재택근무하도록 했다. 임신부와 기저질환자 등은 이미 재택근무 중이다.

현대엔지니어링은 이날부터 일단 3월 6일까지 본사 근무자 전체가 자율 재택근무를 한다.

현대건설은 임신부 등을 대상 재택근무와 시차 출퇴근제, 점심시간 탄력운영제를 검토 중이다.

GS건설은 27일부터 두개조로 나눠서 시차를 둬 출퇴근한다. 임신부와 어린 아이를 돌봐야 하는 직원은 신청을 받아 집에서 근무하게 할 예정이다.

대림산업도 25일부터 임신부는 재택근무를 한다. 그 외에도 회의는 가급적 메신저나 화상 시스템을 활용한다.

신한은행은 본점에서 4∼5개씩 조를 짜서 재택근무를 시작했고 국민은행도 27일부터 본점 직원 약 15%는 재택근무를 한다.

대구에 본사가 있는 가스공사는 24일 대구 이외 지역에 거주하는 직원은 본사로 복귀하지 말고 2주가량 재택근무를 하도록 했다. 인근 지역에 근무하는 인원도 당분간 재택근무를 한다. 생산·공급본부 현장 근무자는 감염 위험을 줄이기 위해 2개조로 나눠 재택근무를 한다.

IT업계도 근무제 실험도입에 발 빠른 편이다. 네이버는 필수 인력 외에 전 직원 원격근무 체제이고 카카오도 원격근무 중이다.

게임업계에는 아예 휴무를 하는 곳도 있다. 엔씨소프트는 27일부터 3월 2일까지, 스마일게이트는 3월 첫 주 사흘간 전 직원이 유급 휴가를 간다.

이밖에 넥슨·넷마블·NHN·펄어비스·위메이드·컴투스 등 게임 회사가 재택근무 체제를 가동 중이다.

유통업계에서도 롯데홈쇼핑과 GS홈쇼핑, CJ오쇼핑 등이 당분간 필수 인원 외에는 전면 재택근무다.

11번가는 임신부는 3월 첫주까지 전원 재택근무하고 개학 연기 등으로 가족을 돌봐야하는 경우 개학 때까지 재택근무할 수 있도록 했다. 일반 직원들도 28일까지 희망에 따라 재택근무한다.

박소연 기자 muse@asiae.co.kr",박소연,아시아경제,2020-02-29
1,"아시아나 파리노선 추가… 티웨이, 시드니 잡았다","국토부, 21개 노선 배분













티웨이항공이 인천∼시드니 노선에 취항한다. 국내 저비용항공사(LCC) 중 처음이다. 파리노선에선 아시아나 항공이 최대 주 458석 규모의 운수권을 추가한다.



국토교통부는 27일 항공교통심의위원회를 열어 지난 1년간 항공회담을 통해 확보한 한국∼파리, 한국∼호주 운수권 등 21개 노선을 7개 국적항공사에 배분했다고 28일 밝혔다. 심의위는 항공사 배분신청에 따라 국토부가 정부간 협상을 통해 확보하거나 회수한 운수권을 매년 2월께 배분하고 있다.



김이탁 국토교통부 항공정책관은 ""항공사가 취항하려면 항공당국의 허가, 지상조업 계약 등의 운항준비 기간이 필요한 점을 고려해 향후 신종 코로나바이러스 감염증(코로나19) 극복으로 수요 회복 시 항공사가 배분받은 노선에 안정적으로 취항할 수 있도록 지원하기 위해 이날 정기배분을 진행했다""고 설명했다.



이에 따라 현재 대한항공과 아시아나항공 등 대형항공사(FSC) 2곳이 운항 중인 인천∼시드니 노선의 추가 운수권은 티웨이항공(주 1303석)과 아시아나항공(주 649석)에게 돌아갔다. 티웨이항공은 인천∼키르기스스탄 운수권(주 2회)도 배분받아 국적 항공사 중 직항 노선에 첫 취항하게 됐다.



현재 보잉737-800NG(넥스트 제너레이션) 28대를 운영 중인 티웨이항공은 이를 위해 300석 이상의 중대형 항공기를 선정해 올해 상반기 중 계약을 체결할 예정이다.



파리 노선은 아시아나항공(주 2.25단위)과 대한항공(주 0.5단위)에 추가 배분했다. 대한항공이 5월부터 주 3회 인천∼부다페스트 노선에 신규 취항할 예정인 가운데 한국∼헝가리 운수권은 아시아나항공(주 2회)이 차지했다. 대한항공은 러시아 노선을 주 4회 확보했다.



마닐라는 대한항공(주 266석)과 에어부산(주 190석)에, 뉴질랜드는 아시아나항공(주 2회)에 배분됐다.



싱가포르 이원5자유(현지 승객을 제3국으로 실어나를 수 있는 권리) 운수권은 티웨이항공(주 5회)에 돌아갔다. 싱가포르 중간5자유(자국에서 제3국을 거쳐 상대국을 운항할 수 있는 권리) 운수권은 대한항공(주 2회), 아시아나항공(주 3회), 티웨이항공(주 7회)이 각각 나눠 가졌다.



대한항공은 서울∼카이로(주 2회), 서울∼뉴델리(2노선, 주 3회), 서울∼뉴델리·첸나이·벵골로(2노선, 주 1회), 서울∼뭄바이(1노선, 주 2회) 등을 확보했다.



아시아나항공은 한국∼리스본(주 4회) 운수권을 배분받았고 티웨이항공은 태국 이원5자유(아시아, 주 7회), 태국 중간5자유(주 7회), 한국∼팔라우(주 1회) 등의 운수권도 배분받았다. 이밖에 대구∼마닐라는 제주항공(주 1330석), 양양∼마닐라는 플라이강원(주 1330석)에 돌아갔다.




fact0514@fnnews.com 김용훈 기자",김용훈,파이낸셜뉴스,2020-02-29
2,"대한항공, 미국 노선까지 줄였다… 추가 소독 등 대응책도 발표","대한항공이 28일 미국 일부 노선에 대해 감편을 실시하고, 기내방역을 강화하는 등 신종 코로나 바이러스 감염증(코로나19) 확산에 따른 대책을 내놨다.
대한항공은 이날 “코로나19에 따른 수요 감소 영향에 따라 일부 미주노선에 대해 한시적으로 감편 및 기재 변경 등 공급 조정을 진행한다”고 밝혔다. 지난 22일 대한항공 객실 승무원 1명이 코로나19 확진 판정을 받은 데 이어 미국 국무부가 26일(현지시간) 자국민에게 한국 여행을 재고하라며 여행 경보를 3단계로 격상하는 등 미국 노선에 대한 안전 문제와 추가적인 수요 감소가 우려됨에 따른 조치로 풀이된다.
먼저 감편되는 노선은 3개다. 인천~샌프란시스코 노선은 3월 7~25일까지 KE023/KE024편, 인천~호놀룰루 노선은 3월2~27일까지 KE053/KE054편을 일부 감편한다. 두 노선의 감편 규모는 왕복기준 총 12회다. 또 기존 주 5회 운항하던 인천~보스톤 노선도 3월17~28일까지 주3회로 감편한다.
기재 변경을 통한 공급 조정도 이뤄진다. A380(407석) 항공기가 투입됐던 인천~로스앤젤레스 노선은 3월2~14일까지 보잉74708i(368석) 또는 보잉777-300(277석/291석) 기종으로 운항한다. 뉴욕, 샌프란시스코, 시애틀, 애틀란타, 시카고, 워싱턴 노선도 3월 한 달간 기종을 일부 변경해 운항할 계획이다.
대한항공은 수요 변화 추이를 살펴 추가 공급 조정을 검토한다는 계획이다.
미국 노선에 대해 코로나19 방역 및 예방 체계도 강화한다.
대한항공은 이날 오후 2시30분 인천발 로스앤젤레스행 KE017편을 시작으로 인천 공항을 출발하는 모든 미국 노선 전편에 대해 발열 체크를 의무화하고 추가 기내 소독을 실시한다고 밝혔다.
이에 따라 탑승구 앞에서 열화상 카메라 및 휴대용 체온계로 모든 탑승객의 발열 여부를 확인하고, 체온이 37.5도 이상이면 탑승을 거부할 계획이다. 기내 소독은 출발 전 MD-125 약품을 이용해 기내 전체를 분무 소독한다.
대한항공은 다른 노선에 대해서도 이 같은 조치를 순차적으로 확대해 나갈 예정이라고 밝혔다.
김경준 기자 ultrakj75@hankookilbo.com",김경준,UNK,2020-02-28
3,"대한항공 ""코로나19에 비행기 띄울 곳 없어""…미주 노선까지 줄인다","대한항공이 미주 노선을 감편한다. 대한항공이 감염증으로 인해 미주 노선을 줄이는 건 처음이다. 이 회사 미주 노선의 여객 매출은 전체 매출의 30%를 차지한다.

대한항공은 28일 인천~샌프란시스코 노선은 다음달 7~25일, 인천~호놀룰루 노선은 다음달 2~27일 운항편을 일부 줄인다고 밝혔다. 주 5회 운항하던 인천~보스턴 노선도 다음달 17~28일엔 주 3회(수·금·일요일)로 감편한다.

운항을 줄이지 않는 노선은 비행기를 작은 규모로 조정한다. 407석의 A380이 다니는 인천~로스앤젤레스 노선은 3월 2~14일 보잉747-8i(368석) 또는 보잉777-300(277석, 291석) 기종으로 대체할 계획이다. 뉴욕, 샌프란시스코, 시애틀, 애틀랜타, 시카고, 워싱턴DC 노선도 3월 기종을 일부 변경할 방침이다.

아시아나항공도 지난 27일 인천~베네치아 노선의 운항을 다음달 4~28일 중단하고, 인천~로마와 인천~바르셀로나 노선을 감편하기로 하는 등 처음으로 유럽 노선 감축에 들어갔다.

대형 항공사들이 미국·유럽 등 황금 노선까지 감축에 나선 건 신종 코로나바이러스 감염증(코로나19) 탓에 비행기를 띄울 곳이 크게 줄어들었기 때문이다. 미국과 유럽 동남아시아 등에서 한국을 ‘여행 주의 국가’로 지정한 여파다. 대한항공은 중국과 동남아 노선을 대폭 감축한 상태여서 미주 노선까지 타격을 받으면 실적이 크게 나빠질 전망이다. 대한항공 조종사노동조합은 위기 극복에 동참하기 위해 임금협상을 회사에 위임하기로 했다.

김재후 기자 hu@hankyung.com",김재후(hu@hankyung.com);,한국경제,2020-02-28
4,"[OBS 비즈투데이] 삼성, '임직원 시민단체 후원 내역 무단열람' 사과 外","1. 삼성이 2013년 5월 당시 미래전략실이 시민단체들에 대한 임직원 기부 명세를 열람한 데 대해 공식 사과했습니다.

최근 출범한 삼성준법감시위원회의 요구를 받아들여 삼성이 시행한 첫 조치인데요.

삼성전자를 비롯한 17개 삼성 계열사들은 공식 사과문을 통해 ""임직원들이 후원한 10개 시민단체를 '불온단체'로 규정하고 후원 내용을 동의 없이 열람한 것은 절대 있어서는 안될 명백한 잘못이었음을 인정한다""고 밝혔습니다.

이어 ""내부 체질과 문화를 확실히 바꾸도록 하겠다""고 강조했습니다.

2. 코로나19 확산으로 항공여행에 대한 우려가 증가하는 가운데 대한항공은 오늘 오후 2시 30분 인처발 로스앤젤레스행 KE017편을 시작으로 인천공항을 출발하는 모든 미국노선에 대해 발열 체크를 의무화하고, 추가적인 기내 소독도 진행한다고 밝혔습니다.

이와 관련해 회사 측은 미국행 탑승구 앞에서 열화상 카메라와 휴대용 체온계로 모든 탑승객의 발열 여부를 확인하게 된다며, 이 과정에서 체온이 37.5도 이상인 승객이 나올 경우 탑승을 거부할 계획이라고 전했습니다.

3. KB국민은행은 코로나19로 임시 폐쇄했던 대구지역 지점 7곳의 업무를 모두 재개했다고 밝혔습니다.

은행 측은 업무 재개에 앞서 침산동지점 등 해당 점포를 임시 폐쇄하고 긴급 방역을 실시했으며, 문자 메시지 등을 통해 고객들에게 거래 재개 사실을 안내했습니다.

4. LG전자와 음식 배달 애플리케이션 '배달의 민족'을 운영하는 우아한형제들이 배달과 서빙 로봇 사업협력을 위해 업무협약을 맺었습니다.

두 회사는 협약에 따라 서빙로봇과 안내로봇, 테이블로봇 등 레스토랑의 운영과 관리를 돕는 로봇 통합솔루션을 개발해 선보일 계획입니다.

양사는 또 LG전자가 인공지능, 실내 자율주행 등 핵심기술을 바탕으로 쌓아온 로봇 개발능력과 우아한형제들이 배달의민족 등 서비스 플랫폼을 운영하며 경험한 노하우를 바탕으로 배송로봇 등 각종 로봇을 공동으로 계발할 예정이라고 설명했습니다.

5. 코로나19가 기승을 부리면서 오프라인 유통점에서의 비접촉 결제가 증가한 것으로 나타났습니다.

롯데멤버스에 따르면 지난 2월 1일부터 20일까지 오프라인 유통점 전체 결제액은 작년 같은 기간보다 28.6% 줄었습니다.

그럼에도 오프라인 유통점 간편결제 취급고는 11.5% 증가했는데요.

회사 측은 매장 쇼핑 시에도 결제 시 대인 접촉을 피하고자 바코드, 음파 등으로 인식되는 간편결제를 이용한 고객들이 늘어난 데 따른 결과로 분석했습니다.<양태환(taeyang007@obs.co.kr)>",양태환,OBS,2020-02-28
5,"생사 갈림길 선 LCC…에어서울, 제주 빼고 모든 노선 운항 중단","아시아나항공 계열의 에어서울은 지난 26일 전체 12개 노선 중 11개를 3월부터 2주간 운항하지 않기로 했다. 국내선(김포~제주) 한 개를 제외하고 모든 노선을 닫았다. 3월부터 객실승무원, 운항승무원, 사무직 등 전체 직원 450여 명을 대상으로 1개월 유급 휴직을 시행하기로 했다.

국내 저비용항공사(LCC)들이 신종 코로나바이러스 감염증(코로나19) 확산 여파로 생사의 갈림길에 섰다. 지난해 한·일 관계 악화로 일본 노선을 줄인 데 이어 중국·동남아시아 하늘길도 끊기면서 어디로도 비행기를 띄우지 못하게 됐기 때문이다.


LCC 국제선 119개 끊겨

28일 국토교통부에 따르면 2월 넷째주 LCC들의 중국 노선 운항 횟수는 코로나19 발병 초기(1월 셋째주)보다 95% 급감했다. 마카오·홍콩 노선을 오가는 횟수도 각각 90%, 66%가량 줄었다. 일본·동남아 하늘길도 줄줄이 끊겼다. 이날 기준 항공사들이 운항 중단을 선언한 국제선만 119개에 달한다. 업계 관계자는 “공항에 비행기를 세워둘 공간이 없을 정도”라며 “‘울며 겨자 먹기’로 빈 항공기를 띄우는 항공사도 있다”고 전했다.

비행기는 남아도는데, 비용은 더 늘어났다. 비행기를 세워두려면 인천공항공사에 주기료(자동차의 주차료에 해당)를 내야 한다. LCC들이 중·단거리 노선에 투입하는 보잉 B737 한 대를 24시간 세워놓을 경우 45만원을 내야 한다. 여기에 비행기 리스료, 항공유 관세, 사무실 임차료 등 고정비도 꾸준히 나간다. B737의 월평균 리스료는 약 30만달러(약 3억6000만원)다. B737 10대를 한 달 동안 세워두면 주기료까지 매달 37억원 이상을 내야 하는 셈이다.

경영난에 직면한 항공사들은 인건비라도 줄이기 위해 일제히 무급 휴직, 임금 삭감에 나섰다. 대한항공 자회사인 진에어는 전 직원을 대상으로 최대 12개월의 무급 휴직 신청을 받고 있는 데 이어 객실승무원은 1개월 단위의 순환 휴직을 추가 시행하기로 했다. 이스타항공은 임직원의 2월 급여를 40%만 지급했다. 애경그룹 계열사인 제주항공은 2월 말까지로 예정돼 있던 이스타항공과의 주식매매계약(SPA)을 연기하기로 한 것으로 알려졌다.

사장단 “이대론 공멸”

국내 6개 LCC 사장단은 이날 공동성명서를 통해 “지금의 국가적 재난은 항공사들의 자체 노력만으로 극복하기에는 역부족”이라며 “항공산업 생존을 위해 정부의 조건 없는 긴급 금융지원이 절실하다”고 호소했다. 이석주 제주항공, 정홍근 티웨이, 최정호 진에어, 최종구 이스타항공, 한태근 에어부산, 조규영 에어서울 등 국내 6개 LCC 사장이 공동성명서를 낸 건 이번이 처음이다.

▶본지 2월28일자 A15면 참조

사장단은 구체적으로 △무담보·장기 저리로 긴급 경영안정자금 지원 △공항 사용료와 세금 감면 △고용유지지원금 확대 등을 요청했다. 국토교통부가 내놓은 지원책의 실효성이 부족하다고 판단해서다. 국토부는 지난 17일 항공사에 최대 3000억원의 긴급 대출과 3개월간 공항사용료 납부 유예 등을 핵심으로 한 ‘항공분야 긴급 지원대책’을 발표했다.

사장단은 부채비율이 높은 항공사 구조상 시중은행을 통한 자금 조달이 사실상 불가능한 만큼 지원 조건을 대폭 완화하고 공항사용료와 세금도 감면해달라고 요청했다. 항공업계 고위 관계자는 “이대로 가다간 항공산업 전체가 추락할 수 있다”며 “외환위기 때보다 더 힘들다”고 하소연했다.

이선아 기자 suna@hankyung.com",이선아(suna@hankyung.com);,한국경제,2020-02-28
6,"결국 '10%룰' 완화...국민연금, 경영권 입김 더 세진다",,양사록 기자,서울경제,2020-02-28
7,"'주총 무소불위' 국민연금, 10%룰 족쇄까지 풀렸다","10% 이상 보유한 종목의 6개월 이내 단기매매 차익을 해당 기업에 반환하도록 한 규정(10% 룰)이 국민연금에는 적용되지 않을 전망이다. 주주총회 시즌을 앞두고 국민연금이 사실상 ‘캐스팅보터’로 떠오른 상황에서 기업 경영에 대한 간섭이 더욱 심화할 것이란 우려가 나온다.

28일 금융당국에 따르면 금융위원회 산하 증권선물위원회는 지난 26일 정례회의에서 국민연금이 신청한 단기매매 차익 반환의무 면제 안건을 승인했다. 현행 자본시장법에 따르면 상장회사 지분 10% 이상을 보유한 주요 주주가 주식 매수 후 6개월 이내 주식을 매각해 차익을 실현하면 이를 해당 기업에 반환해야 한다. 주요 주주가 경영진으로부터 얻은 미공개 정보를 활용해 부당 이득을 취하는 것을 막기 위한 취지에서다. 다만 국민연금 등 공적 연기금에 대해선 경영 참여가 아니라 단순투자 목적에 한해 예외적으로 이 같은 의무를 면제해줬다.

그러나 정부가 지난해 기관투자가의 지분 대량 보유 보고 제도(5% 룰)를 완화하면서 변화가 생겼다. ‘5% 룰’ 완화로 과거 경영 참여 행위로 간주한 정관 변경, 배당·임원보수 관련 주주 제안 등이 ‘일반투자’로 낮춰지면서 ‘10% 룰’의 적용 범위도 그만큼 축소된 셈이다.

재계에서는 연기금이 10% 이상 지분을 보유하고 있는 기업의 경영 개입이 더욱 심해질 것으로 보고 있다. 대한항공이 1순위 타깃으로 꼽힌다. 지난해 국민연금은 한진칼에 대한 경영 참여를 선언하고 고(故) 조양호 당시 한진그룹 회장 측을 겨냥해 정관 변경을 시도했지만 대한항공에 대해선 그러지 못했다. 당시 국민연금의 한진칼 지분율은 7.34%에 불과했던 반면 대한항공은 11.56%로 10%가 넘었기 때문이다. 보건복지부는 국민연금이 대한항공 경영에 참여할 경우 반환해야 할 단기매매 차익을 100억원가량으로 추산했다.

하지만 올해 주총부터는 이 같은 ‘족쇄’가 풀리게 됐다. 이미 국민연금은 지난 7일 56개 상장사의 투자목적을 단순투자에서 일반투자로 변경했다. 이 가운데 국민연금 지분율이 10% 이상인 기업은 삼성전자 SK하이닉스 현대자동차 포스코 등 24개다.

일각에서는 연기금이 이 같은 주주활동을 통해 얻은 미공개 정보를 불공정 거래에 활용할 수 있다는 지적도 제기한다. 이에 금융위는 연기금 운용부서와 주주활동 관련 부서 간 정보교류 차단장치(차이니즈 월)를 마련한 경우에만 10% 룰을 완화하겠다는 보완책을 내놨다. 그럼에도 재계는 “연기금 내 정보교류를 완전히 차단하는 것은 현실적으로 불가능하지 않느냐”며 거세게 반발하고 있다.

오형주 기자 ohj@hankyung.com",오형주(ohj@hankyung.com);,한국경제,2020-02-28
8,[사진] 미주행 탑승객 발열체크하는 대한항공 예외,대한항공 관계자들이 28일 인천국제공항 제2터미널 탑승구에서 로스앤젤레스(LA)행 KE017편 탑승 승객에게 열화상 카메라와 휴대용 체온계로 발열 체크를 하고 있다. 대한항공은 인천공항을 출발하는 미주 노선 전편에 대한 발열 체크를 의무화하는 한편 추가적인 기내 소독을 진행하기로 했다.,김현수 기자,서울경제,2020-02-28
9,"대한항공, 미국 노선 발열체크·기내방역 강화","대한항공은 신종 코로나바이러스 감염증(코로나19) 확산으로 미국 노선을 시작으로 발열체크·기내방역 등 대응체계를 강화했다고 28일 밝혔다.
대한항공은 먼저 이날 오후 2시 30분 인천발 로스앤젤레스행 KE017편을 시작으로 인천국제공항을 출발하는 모든 미국 노선에 대해 발열 체크를 의무화하고 추가적인 기내 소독을 실시한다.
이에 따라 대한항공은 미국행 탑승구 앞에서 열화상 카메라와 휴대용 체온계로 모든 탑승 승객의 발열 여부를 확인한다. 체온이 37.5도 이상자라면 탑승을 못하도록 조치한다.
기내 소독의 경우 항공편 출발에 앞서 MD-125 약품으로 미국 노선 전편의 기내 전체를 분무소독한다. MD-125는 식약처와 환경부 인증을 받은 제품으로 살균 리스트에 '인체 코로나 바이러스'가 명기돼 있어 코로나바이러스 제거에 가장 효과적인 제품 중 하나로 알려져 있다.
이와 함께 대한항공은 인천공항 항공사 운영위원회(AOC, Airport Operation Committee)를 통해 정보를 공유함으로써 코로나19에 보다 빠르고 효율적으로 대응할 수 있는 체계를 만들어 나갈 방침이다.
대한항공 관계자는 ""미국 노선 뿐 아니라 다른 노선에도 이 같은 조치를 순차적으로 확대해 나갈 예정""이라고 말했다.
[디지털뉴스국 배윤경 기자]",배윤경,매일경제,2020-02-28
