,0,0,0,0,0
0,〔ANN의 뉴스 포커스〕 초고층 건물 변위 기술 홍콩 2 머레이 로드 타워에 적용,"● 멋진 세상 속 건설경제 읽기_ 세계적인 건축스튜디오 자하하디드 아키텍츠(ZHA)가 설계한 비정형 초고층 건물, 초고층 건물 시공 중 발생하는 높이·기울기 등의 변형을 사전 예측하는 기술

대우건설의 BMC 기술을 적용할 홍콩 2머레이 로드 타워, 사진 출처 : Henderson Land Development Co. Ltd.대우건설이 독자 개발한 BMC(Building Movement Control : 초고층 시공 중 변위 관리) 기술을 홍콩 고층 복합타워인 머레이 로드 타워 공사에 적용하는 계약을 체결했다.

BMC는 초고층 건물 시공 중에 발생하는 높이·기울기 등의 변형을 사전에 예측하는 기술로, 건물의 안전성을 높이면서 공사 기간과 비용은 줄일 수 있는 고부가가치 기술로 평가받는다. 이 기술은 크게 예측 기술, 재료 장기 변형 평가 기술, 보정 및 모니터링 기술로 구성하며 계획부터 시공까지 단계마다 고도로 특화한 전문성이 필요하다. 건물이 처음 계획한 크기와 형태로 완성, 유지하기 위해서는 시공 과정과 시공 후에 얼마나 변위가 발생하고 기울어질지 예측하는 과정을 선행해야 한다. 예측의 정밀도를 높이기 위해 실제 건설에 사용하는 재료의 변형을 파악해 반영해야 하며, 예측을 완료한 이후에는 그 값을 근거로 시공 전에 건물의 보정 계획을 수립해야 한다. 또한 실제 시공 과정에서 관찰한 데이터를 바탕으로 예측 값을 지속해서 수정하고 그에 따라 보정 계획을 변경할 수도 있어 실제 의도한 대로 건물이 시공되는지 지속해서 관찰하는 모니터링 기술이 필요하다.

대우건설이 기술을 제공할 이 빌딩은 홍콩의 대표적인 부동산 개발업체 헨더슨 랜드 디벨롭먼트가 개발하며, 대지면적 43,200㎡에 지상 36층, 지하 5층, 높이 190m 규모에 달한다. 머레이 로드 타워는 홍콩 정부로부터 매입한 주차장 부지를 개발하는 것으로 홍콩 중심업무지구 MTR 중앙역 인근에 위치한다. 설계를 맡은 세계적인 건축스튜디오 자하 하디드 아키텍츠(Zaha Hadid Architects)는 홍콩을 상징하는 꽃인 바우히니아 꽃봉오리에서 영감을 받아 현재의 디자인을 구현했으며, 비정형·초고층 건물의 안정적인 시공을 위해서는 BMC 기술이 필수적이다.지난 2019년부터 대우건설은 이 건물의 기울어짐에 대한 가능성을 진단하고 해결하기 위해 1차 기술 용역을 수행했으며, 금년 4월(2차 기술용역) 계약에 따라 2023년 말까지 시공 단계 해석, 재료 시험, 현장 모니터링 등을 제공한다. 총 계약 금액은 약 22만 달러이다.

대우건설은 지난 10년간 송도 동북아무역센터, 말레이시아 KLCC타워, IB타워 등 직접 시공한 국내·외 초고층 빌딩에 이 기술을 적용하며 효과를 입증한 바 있다. 이번 수출로 그동안 개발한 초고층 구조·시공과 관련해 쌓은 독자적인 기술력과 노하우를 세계 시장에서 재차 인정받았다. 2015년 베트남 하노이 비에틴뱅크에 이은 두 번째 성과이다.

대우건설 관계자는 ""미국·유럽 등 선진국 업체가 독점하던 초고층 엔지니어링 시장에서 당사가 독자 개발한 기술을 인정받고 해외 수출했다는 점에서 의의가 크다""라며, ""해외 유명 발주처 및 컨설턴트의 신뢰도를 확보해 향후 대우건설이 해외 진출하는 데 도움이 될 것이다""라고 밝혔다. >>자료_대우건설, 기사 출처_ 데일리 에이앤뉴스_ Daily AN NEWS ? ANN TV(ANN NEWS CENTER) 제공
안정원(비비안안 VIVIAN AN) 에이앤뉴스 발행인 겸 대표이사, 한양대학교 실내건축디자인학과 겸임교수, 한양대 IAB 자문교수
기사 제공_ 에이앤뉴스그룹(데일리에이앤뉴스_ 건설경제건축디자인문화예술종합미디어뉴스?에이앤앤티브이_건축디자인건설미디어뉴스채널 ? 에이앤앤북스_ 건설지?건설백서?건설스토리북?건설엔지니어링북전문출판사)",에이앤뉴스,YTN,2020/10/31
1,故 조양호 회장 `기업가 명예의 전당` 헌액,"""자신에게 소중한 것을 대하는 자세로 고객의 여행을 소중하게 생각하고 대하는 것, 그것이 안전과 서비스의 시작이다.""
대한민국 항공산업 발전을 이끈 수송보국의 표상 고(故) 조양호 한진그룹 회장 어록 중 하나다. 이는 대한항공 취임 이듬해인 2000년 이후 단 한 차례 사망사고 없이 무사고 기록을 달성한 기업인 경영철학을 그대로 보여주고 있다.
30일 한국경영학회와 매일경제신문이 서울 중구 한국프레스센터에서 '대한민국 기업가 명예의전당 헌액식'을 열고, 조양호 회장을 헌액했다. 조 회장은 합리적인 경영 리더십으로 대한항공이 글로벌 기업으로 성장하는 주춧돌을 닦았다는 평가를 받는다. 생전에 중시한 합리경영은 최고경영자라면 누구나 역량을 발휘할 수 있도록 오케스트라 지휘자 역할을 할 것, 현장의 절대 안전을 최고 목표로 할 것, 고객에게 최상의 서비스를 제공할 것 등으로 요약된다.
조 회장의 이 같은 경영은 대한항공이 16년 연속 글로벌 고객만족도 1위를 차지하는 성과로 이어졌다.
그의 전략은 위기 때 더욱 빛났다. 국제통화기금(IMF) 시절에는 항공기 대부분을 임차가 아닌 자체 소유해 매각 후 재임차 등을 통해 유동성 위기에 대처했다. 또 9·11 테러 직후 전 세계 항공산업이 침체할 때 이를 오히려 항공기 도입 적기로 판단해 차세대 항공기 도입에 적극 나섰다.
미래를 위한 투자도 과감했던 그는 전 세계 주요 공항에 전용 화물터미널을 구축했다. 당시 구축한 화물 네트워크와 인프라스트럭처는 대한항공의 핵심 경쟁력으로 자리잡았다.
이영면 한국경영학회 회장은 이날 ""조 회장은 언제나 선각자적인 정신으로 시대를 앞서봤다""며 ""이런 정신이 지금 같은 코로나19 시대에도 대한항공을 흑자로 만든 힘""이라고 말했다.
이날 명예의 전당 헌액은 조양호 회장의 장남인 조원태 한진그룹 회장이 수상했다. 조원태 회장은 ""고 조중훈 회장님부터 고 조양호 회장님까지 명예의 전당 헌액을 영광스럽게 생각한다""며 ""대한항공이 글로벌 항공사로 더 큰 성장을 할 수 있도록 매진하겠다""며 수상 소감을 밝혔다.
[이윤재 기자]",이윤재,매일경제,2020/10/30
2,"""삼성전자 국가경제 공헌, 2~4위 기업 더한 것보다 많아""","지난해 삼성전자가 나라 경제에 보탬이 된 정도가 4대 기업 중 나머지의 공헌도를 모두 더한 것보다 컸다는 분석이 나왔다.

한국기업공헌평가원은 29일 개최한 ‘2020 한국 대기업국가경제 공헌 평가 컨퍼런스’에서 이같이 발표했다. 지난해 한국 기업들의 국가경제 공헌 정도를 지표로 계산해 발표하는 행사다. 신종 코로나바이러스 감염증(코로나19) 확산으로 인한 사회적 거리두기를 지키기 위해 올해는 온라인으로 열렸다. 한국기업공헌평가원은 주요 대학 회계학 교수들이 꾸린 단체다. 2~4위 기업 더해도 삼성전자 경제 보탬 더 커 평가원은 지난해 각 기업의 재무실적, 법인세, 급여지급, 고용인원, 사회공헌기금집행내역 등 8가지 항목을 조사한 뒤 합산해 총점을 매겼다. 그 결과 삼성전자가 166점으로 압도적 1위를 차지했다. 삼성전자의 국가 경제 공헌도는 2~4위 기업을 모두 더한 점수보다 높았다. 2018년까지 3위였던 SK하이닉스는 지난해 현대자동차를 누르고 종합 2위에 올랐다. 3위는 현대자동차, 4위와 5위는 LG전자·기아자동차였다.

삼성전자는 재무실적, 수출실적 등 평가항목에서 모두 경제 기여도가 가장 컸다. 지난해 삼성전자가 벌어들인 외화는 134조5000억원으로 2위인 한국전력공사(39조)의 3배가 넘는 규모였다. 삼성전자의 사회공헌 집행 금액 2880억원은 사회공헌 2위 KT(870억원)의 3.3배에 달했다.

계열사별 실적을 아우르는 기업집단 별 국가경제 공헌도에서도 삼성이 1위였다. 2위 SK(70점)의 2배가 넘는 151점으로 평가받았다. 이어 현대자동차(3위) LG(4위) 롯데(5위)가 뒤를 이었다.

이종천 한국기업공헌평가원장은 “고(故) 이건희 삼성전자 회장이 삼성을 세계적 기업으로 키워 국가 경제에도 크게 기여했다는 것을 보여주는 조사”라며 “이재용 부회장 취임 이후에도 사회공헌 등을 확대하며 국가 경제에 꾸준히 기여하고 있다”고 말했다. 시설투자 줄이는 기업들 ""미래 경기 불확실""업종 별로는 전자 업종의 공헌이 컸다. 전자, 자동차, 유통, 화학은 2010년부터 공헌도 1~4위를 유지해왔다. 국가 주력산업이 경제 버팀목 역할을 하고 있다고 평가원 측은 설명했다. 다만 자동차산업은 2014년부터 성장이 정체되고 있다고 우려했다. 송민섭 서강대 경영학 교수는 ""전기차, 수소차 등 자동차산업이 대대적으로 변하고 있는 상황에서 우려스러운 결과""라며 ""국내 자동차산업이 경쟁력을 되찾으려면 정책적으로 뒷받침할 필요가 있다""고 진단했다.

매출 기준 상위 100대 기업들의 지난해 매출은 전년에 비해 총 4조5000억원(0.36%) 증가해 과거에 비해 증가폭이 둔화됐다. 수출이 감소한 영향이다. 2018년보다 수출실적이 1.4% 줄었다. 해외 의존도가 높은 국내 경제가 약해지고 있다는 게 평가원 측 분석이다.

매출 증가세가 더뎌진 상황에서도 일자리 창출과 급여는 각각 5.83%와 3.7% 늘었다. 법인세도 마찬가지였다. 2018년과 2019년 각각 8조원(46.6%), 1조7000억원(6.9%)가 증가했다.

반면 기업들의 시설투자는 줄었다. 2018년 3조9000억원(4.3%) 줄어든 데 이어 작년에도 6조4000억원(7.5%) 감소했다. 한종수 이화여대 경영학 교수는 ""시설투자는 기업들이 미래 시장 전망을 보는 경기 선행지표로 볼 수 있다""며 ""앞으로 경기가 불확실하다고 판단해 시설투자를 줄인 것""이라고 분석했다. ＜2019년 국가·사회 공헌 15대 기업>
1위/삼성전자
2위/SK하이닉스
3위/현대자동차
4위/LG전자
5위/기아자동차
6위/삼성디스플레이
7위/포스코
8위/KT
9위/엘지화학
10위/한국전력공사
11위/LG디스플레이
12위/대한항공
13위/이마트
14위/롯데쇼핑
15위/현대모비스
*2019년 회계연도 기준
(자료: 한국기업공헌평가원)

＜2019년 국가·사회 공헌 15대 기업집단＞
1위/삼성
2위/SK
3위/현대자동차
4위/LG전자
5위/롯데
6위/한국전력공사
7위/포스코
8위/KT
9위/CJ
10위/신세계
11위/GS
12위/한화
13위/현대중공업
14위/한진
15위/효성
*2019년 회계연도 기준
(자료: 한국기업공헌평가원)

이수빈 기자 lsb@hankyung.com",이수빈(lsb@hankyung.com);,한국경제,2020/10/30
3,코로나에 항공업계 ‘고사위기’… 정부 ‘항공산업발전조합’ 추진,"신종 코로나바이러스 감염증(코로나19)에 직격탄을 맞은 항공업계가 정부와 함께 ‘항공산업발전조합(항공조합)’ 결성을 추진한다. 지금과 같이 전례 없는 유동성 위기가 닥쳤을 때, 경영안정자금 등으로 쓸 수 있도록 중장기 대응방안을 마련하기로 한 것이다. 업계는 조합 설립을 위한 분담금을 내기로 하는 등 큰 틀에서 정부 추진 방향에 공감대를 형성했다. 그러나 당장은 자금 조달이 어려운 상황인 만큼 구체적인 분담 방식·정부 지원 등에 대해서는 추가 논의를 거쳐야 할 것으로 보인다.



30일 관련 업계 등에 따르면 전날 국토교통부는 김상도 국토부 항공정책실장 주재로 대한항공, 아시아나항공 등 10개 국적 항공사 CEO들과 간담회를 열었다. 이 자리에서 국토부와 항공사 CEO들은 항공조합 설립을 위한 재원 조달 방식을 논의, 항공사들도 분담금을 내는 데에 동의한 것으로 알려졌다.



항공조합은 산업 호황 시 재원을 적립해 보증 및 투자사업을 추진하고 경영위기 시 경영안정자금 등을 지원할 수 있도록 하는 기구다. 핵심 기능으로는 항공기 도입 시 리스사(운용리스)와 금융기관 융자(금융리스)에 대한 지급 보증을 제공해 리스비를 절감하고 부채비율을 낮추는 방안이 거론된다. 적립한 조합비를 기반으로 경영위기 때 대출과 자산 유동화를 지원할 수도 있다. 유사한 예로 해운조합이 있다.



항공업계는 큰 틀에서 조합의 필요성과 추진에 공감하고 있으나, 분담 방식 등 구체적인 내용은 더 논의가 이뤄져야 할 것으로 보고 있다. 현재는 공항시설사용료에 일부를 원천 징수하는 방법 등이 거론된다. 특히 코로나19로 극심한 유동성 위기를 겪고 있는 만큼 정부 차원의 재정 지원도 필요하다는 입장이다. 업계 관계자는 “초기에는 정부의 지원이 절실하다. 항공사별로 규모와 사정이 달라 이를 고려하면서 적절한 분담 방안을 찾아야 할 것”이라고 말했다.



곽선미 기자 gsm@munhwa.com",곽선미,문화일보,2020/10/30
4,'코로나 쇼크'에 기업신용 '강등전야',"[아시아경제 조강욱 기자, 유제훈 기자] 카지노업체 파라다이스는 3년 만기 1000억 규모 회사채를 발행하기 위해 지난 14일 기관들을 상대로 진행한 수요예측(사전 청약)을 진행했지만 단 한 건의 매수주문도 들어오지 않았다. 팔리지 않은 채권 중 700억원은 정부의 기업유동성지원기구(SPV)가, 나머지 300억원은 발행 주관사인 미래에셋대우와 SK증권이 나눠서 인수하기로 했다. 이달 초 신용평가사들은 파라다이스의 신용등급을 줄줄이 하향 조정했다.

최근 파라다이스를 시작으로 신종 코로나바이러스감염증(코로나19) 사태로 직격탄을 맞은 기업들의 신용등급이 3분기 실적 발표 이후 무더기 강등될 것이란 전망이 제기되고 있다. 호텔, 유통, 영화 등 서비스업종을 비롯해 항공, 정유, 철강 등 코로나19 타격이 컸던 업종에 속한 기업들이 하락 조정 대상으로 거론된다. 이들 기업은 올해 상반기 코로나19 여파로 신용등급 조정이 상당수 유예됐었다. 신용평가사들이 개별 기업들의 신용등급을 실제로 끌어내릴 경우 코로나19 금융지원으로 건전성 부담이 커진 금융시장으로의 리스크 전이도 불가피할 것으로 우려된다.

30일 금융권에 따르면 국내 신용평가 3사는 하반기 기업어음(CP) 정기평정과 3분기 기업실적을 바탕으로 요주의 업종의 등급조정을 진행하기 위한 채비를 하고 있다. 현재 신평사들로부터 '신용등급이 떨어질 우려가 있다'는 의미인 '부정적' 전망을 받고 있는 기업은 한국기업평가의 경우 57곳에 이른다. 또 나이스신용평가는 55개 기업에, 한국신용평가는 51곳에 부정적 전망을 부여했다. AA등급인 에쓰오일, 롯데쇼핑, 호텔롯데, SK인천석유화학 등을 비롯해 롯데컬처웍스, 한화호텔앤드리조트, 대한항공, 폴라리스쉬핑 등 대부분 코로나19 직격탄을 크게 맞은 기업들이다.

파라다이스처럼 코로나19로 부정적 영향을 크게 받은 호텔, 유통, 영화 등 업종은 이번 정기평정 때 신용등급이 대거 하향될 가능성이 높다. 전방산업에 직접적 영향을 받는 자동차 부품사들의 신용등급 역시 주요 모니터링 대상이다. 이 밖에 항공, 정유, 철강 등 업종에 속한 기업들의 신용등급 하방 압력이 거세다.

실제로 항공업계의 경우 '캐시카우'인 국제선 운항률이 90% 이상 급감했다. 대한항공의 올 상반기 연결 기준 영업이익(273억원)은 전년 대비 83%나 감소했다. 아시아나항공의 영업손실은 2배 이상 늘어난 2685억원에 달했다. 화물사업 등 탈출구가 없는 저비용항공사(LCC)의 상황은 더욱 심각하다. 제주항공의 상반기 영업이익은 1111억원 흑자에서 907억원 적자로 급격히 악화됐다.

특히 매각이 불발된 아시아나항공은 최근 '불확실검토'에서 '하향검토' 등급감시대상에 올랐다. 아시아나항공의 현재 신용등급은 BBB-로, 한 단계만 등급이 하향돼도 자산유동화증권(ABS)에 걸린 조기상환트리거가 발동되는 상황에 내몰릴 수 있다. 대한항공은 BBB+를 유지 중이나 한국신용평가 등 신용평가사들은 '부정적' 전망을 부여했다.

전문가들은 각종 자구안 및 정책자금의 효과가 바닥을 보이는 내년엔 위기가 본격화 될 수 있다고 우려한다.

윤문길 한국항공대 교수는 ""가장 긍정적인 시나리오에서도 내년 말 또는 내후년 초까지는 항공수요 회복을 기대하기 어렵다""면서 ""4~5개 분기를 적자를 버텨야 한다는 것인데, 이를 감내할 항공사가 몇 곳이나 될 지 의문""이라고 말했다.

조강욱 기자 jomarok@asiae.co.kr

유제훈 기자 kalamal@asiae.co.kr",조강욱,아시아경제,2020/10/30
5,"영우디에스피, 224억원 규모 공급계약 체결","[아시아경제 오주연 기자] 영우디에스피는 중국 Chongqing BOE Display Technology Co.,Ltd. 223억9401만9000원 규모의 디스플레이 장비 공급계약을 체결했다고 30일 공시했다. 이는 최근 매출액 대비 22.30%에 해당한다.

오주연 기자 moon170@asiae.co.kr",오주연,아시아경제,2020/10/30
6,"우울한 40돌 항공의 날 ""끝모를 코로나19…장기전 대비 혁신해야""","[아시아경제 유제훈 기자] 제40회 항공의 날 기념식이 사상 최초로 온라인을 통해 개최된다. 신종 코로나바이러스감염증(코로나19) 사태로 어느 때 보다 업계 전반이 침체된 가운데, 업계 안팎에선 사태 장기화가 확실시 되는 만큼 차제에 '포스트 코로나' 시대 준비가 필요하다고 입을 모으고 있다.

30일 한국항공협회 등에 따르면 제40회 항공의날 기념식은 이날 유투브를 통해 생중계 된다. 지난 1980년 이래 항공의날 기념식이 온라인으로 치러지는 것은 이번이 처음이다. 같은날 오후 열리는 한국항공경영학회 추계학술대회 역시 유투브 및 줌(Zoom)을 통해 진행된다. 코로나19 확산 방지 차원이다.

코로나19 영향으로 국제선 운항의 90% 이상이 줄어든 상황인 만큼 '생일'을 맞이하는 업계의 분위기는 크게 침체돼 있다. 일례로 대한항공의 경우 지난 상반기 연결 기준 매출액은4조1557억원, 영업이익은 273억원으로 각각 전년 대비 33%, 83%씩 감소했다. 아시아나항공도 매출액은 38% 줄어든 2조1801억원, 영업손실은 2배 이상 늘어난 2685억원에 달했다. 화물사업 등 탈출구가 없는 저비용항공사(LCC)의 상황은 더욱 심각하다. 제주항공의 반기 매출액은 2652억원으로 전년대비 63%나 줄었고, 영업이익은 1111억원 흑자에서 907억원 적자로 '상전벽해'가 됐다.

이 영향으로 대부분의 항공사들은 유·무급휴직을 진행 중이다. 최근엔 정부의 유급휴직 고용유지지원금 지원기한이 만료돼 무급휴직으로 전환하는 항공사들도 늘고 있다. 업계 한 관계자는 ""내년 고용유지지원금을 재신청하면 다시 유급휴직으로 전환되겠지만 기한인 6개월이 경과하면 방법이 없다""고 토로했다.

업계에선 코로나19에 따른 극단적 수요위축 현상이 최소 1~2년간 지속될 것으로 본다. 국적항공사 고위관계자는 ""국내 항공시장은 해외와 달리 국내선 시장이 약소해 국적항공사들이 받는 충격이 더 크다""면서 ""백신이 개발되더라도 보급, 접종 등에 시간이 소요되는 만큼 전년 수준의 수요회복까진 수 년이 더 걸릴 것""이라고 전했다.

전문가들은 코로나19 사태 장기화가 명약관화한 만큼 차제에 정부와 업계가 단기적 유동성 공급 뿐만 아니라 '포스트 코로나' 시대 대비에 나설 필요가 있다고 조언한다. 코로나19 사태 해소 이전까지 생존을 위해 업계 전반이 수요회복, 신성장동력 발굴 등에 나서야 한다는 것이다.

이날 항공경영학회 추계학술대회 기조발제를 맡은 윤문길 한국항공대 교수는 '코로나19에 따른 항공산업의 위기와 대응 과제' 를 통해 ▲항공수요 진작방안 ▲시장경쟁력 확보 방안 ▲사업다각화 등 혁신 ▲시장기반의 구조조정 유도 등을 중장기 과제로 지목했다.

윤 교수는 ""이전엔 감염병 등으로 수요가 위축되더라도 사태 해결 이후엔 회복속도가 가팔랐는데, 코로나19는 이런 패턴을 무력화시키고 있다""면서 ""항공기 정비업, 항공기 금융업 처럼 갑작스런 악재에도 버틸 수 있는 사업 포트폴리오를 구축하고, 딘계적 수요 회복방안을 고민하는 등 정부와 업계 전반이 장기적 혁신 방향을 고민할 필요가 있다""고 전했다.

유제훈 기자 kalamal@asiae.co.kr",유제훈,아시아경제,2020/10/30
7,"영우디에스피 Chongqing BOE Display Technology Co.,Ltd과 223억원 계약체결 예외","영우디에스피는 Chongqing BOE Display Technology Co.,Ltd. 223억원 규모의 계약을 체결했다고 30일에 공시했다.

이번 계약은 디스플레이 장비이고 계약기간은 2020년 10월 29일부터 2021년 02월 26일까지이다.

계약규모는 223억원으로 최근 매출액인 1004억원 대비 22.30% 수준이다.

한편, 영우디에스피의 10시 05분 현재주가는 1,535원으로 직전 거래일 대비 70원(+4.78%) 상승이며, 거래량은 128,195주이다.



공시 전문으로 이동

스톡봇 기자

※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.",스톡봇,국민일보,2020/10/30
8,"""잔칫날 분위기 아닙니다""…우울한 '항공의날'","[헤럴드경제 원호연 기자]국내 항공업계가 최대 행사인 '항공의 날'을 맞았지만 우울한 분위기다. 코로나19 사태 장기화로 경영난이 심화되면서 생존 경쟁이 급박하기 때문이다.

국토교통부는 30일 제 40회 항공의날 기념식을 유투브를 통해 온라인으로 축소해 진행한다고 밝혔다. 지난해 500여명의 항공사와 정부·국회, 학계 등 항공업계 관계자가 참석했던 것과 달리 이날 기념식에는 정부 관계자와 수상자 등 필수 인원만 참석했다.

항공의 날은 국내에서 처음 민간 여객기가 서울~부산에 취항한 1948년 10월 30일을 기념하는 날로 사실상 국내 항공업계의 생일이라고 할 수 있다. 1981년부터 국토부 주관으로 매년 기념식을 성대하게 열어왔다. 기념식을 온라인으로 대체한 것은 처음이다.

항공업계 관계자는 ""방역 수칙 상 대규모 인원이 모인 기념식을 할 수 없었겠지만 당장 업계 존속과 직원들의 생계가 위협받는 상황에서 잔칫날 분위기를 낼 상황은 아니다""고 전했다.

아시아나항공과 제주항공 등 6개 저비용항공사(LCC)들은 다음달부터 연말까지 무급휴직에 돌입할 것으로 예상된다. 이달 말로 이들 항공사에 대해 정부가 지원하는 유급 휴직 고용유지지원금 지급 기한이 끝나기 때문이다. 정부는 지난 8월말이었던 지급기한을 2개월 연장했지만 추가 연장 가능성은 언급하지 않고 있다.

대한항공 역시 이달 15일로 종료될 예정이던 순환 유급 휴직을 연말까지 연장했다.

무급휴직에 대해서도 직원 개인에 대해 정부가 고용유지지원금을 지급하지만 1년 마다 갱신되는 유급 휴직 지원금과 달리 직원 당 평생 6개월 한도로만 지원돼 한계가 있다.

한 LCC 조종사는 ""내년부터는 대부분 항공사들이 무급휴직으로 전환할 것으로 보여 생계 걱정이 크다""고 전했다. 그는 ""유급휴직이 경우 고용유지지원금이 갱신되더라도 회사가 먼저 돈을 주고 정부에 돌려받는 형식이라 자금난에 시달리는 회사는 무급휴직을 선호할 것""이라고 우려했다.

경영난이 이어질 경우 600여명의 직원이 대량 정리해고된 이스타항공처럼 인력 구조조정을 단행하는 항공사가 나올 것이란 우려도 팽배하다.

각 항공사들은 한달에만 수백억원에 달하는 운영자금을 확보하기 위해 안간힘을 쓰고 있다. '목적지 없는 비행상품'을 진행하거나 여객좌석을 화물칸으로 개조해 화물영업을 이어가고 있다.

제주항공과 대한항공은 기간산업안정기금을 받기 위해 채권단과 지리한 협의를 이어가고 있다. 제주항공에 이어 진에어와 티웨이항공은 각각 1050억원, 668억원 규모 유증을 진행하고 있다. 아시아나항공으로부터 분리 매각될 가능성이 높은 에어부산도 783억원의 유증을 진행중이다.",원호연 기자,헤럴드경제,2020/10/30
9,[씨줄날줄] ‘주요 주주’ 국민연금/전경하 논설위원,"국민연금엔 올 7월 기준 776조 6000억원이 쌓여 있다. 세계적으로 기금 규모가 700조원이 넘는 연기금은 일본 공적연금, 노르웨이 국부펀드에 이어 3번째다. 국민연금의 가장 많은 부분(42.0%)은 국내 채권(325조 9000억원)에 투자돼 있고 해외 주식 22.8%(177조 1000억원), 국내 주식 18.2%(141조원), 부동산 등 대체투자 11.8%(91조 3000억원) 등에 투자돼 있다.
국민연금은 3개월마다 주식 대량보유 현황을 공개한다. 지난 8일 국민연금이 투자했다고 공시한 기업은 현대백화점(13.50%), CJ제일제당(12.48%), 현대모비스(11.99%) 등 총 193개다. 이 가운데 5% 이상 지분을 가진 기업이 157개다. 국민연금의 지분 축소나 증가는 증권시장의 주요 뉴스가 된다.
국민연금이 주요 주주가 되면 이사 선임, 회사 분할, 인수합병(M&A) 등 주요 사안을 결정할 때 국민연금의 의사가 중요해진다. 지난해 3월 국민연금은 대한항공 2대 주주(11.7%)로 고 조양호 한진그룹 회장의 사내 이사 연임에 반대했다. 주주총회 출석 주주 3분의2 이상의 지지를 받지 못한 조 회장은 연임에 실패했다. 대한항공은 올 3월 주총에서 해당 정관을 출석 주주 과반수의 지지로 바꿨다.
국민연금이 주총 안건에 대해 어떤 입장을 취할지는 보통 기금운용본부가 결정한다. 기금운용본부가 판단하기 곤란하면 수탁자책임전문위원회에 결정을 요구한다. 수탁자책임위원회는 2016년 국민연금의 삼성물산 합병안 찬성을 놓고 논란이 발생한 것에 대한 해결책으로 2018년 7월 만들어진 기구다. 주총 사안에 반대할 수 있는 가장 큰 이유는 주주가치 훼손이다. 이런 까닭을 들어 수탁자책임위원회는 오늘 열리는 LG화학의 주총에서 배터리사업 물적 분할에 반대하기로 했다.
국민 돈으로 투자하는 만큼 장기적 관점에서 국민의 이익을 위해 투자하는 것이 기본이다. 2018년 기관투자가의 의결권 행사지침(스튜어드십 코드)이 도입되면서 국민연금의 의결권 행사도 더욱 중요해졌다. 하지만 국민연금의 운용은 매우 낙후돼 있다. 감사원은 지난 7월 국민연금이 동일 인물의 이사 선임에 대해 명확한 이유 없이 수년에 걸쳐 일관성 없이 찬성과 반대를 오갔다고 발표했다. 기금운용본부 직원 4명이 대마초를 피운 혐의로 지난달 적발되기도 했다.
국민연금의 제대로 된 주주권 행사는 기업의 가치를 올리고 국민의 안정적 노후를 보장하기 위해 반드시 필요하다. 그러려면 전문성과 책임성이 필요하다. 기관투자가의 ‘큰형님’인 국민연금이 스튜어드십 코드가 안착할 수 있는 키를 갖고 있다. 그런 날이 가급적 빨리 왔으면 싶다.
lark3@seoul.co.kr",전경하,서울신문,2020/10/30
