,년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주),증감
0,2020/10/30,"611,000","-40,000","820,454","512,035,157,000","647,000","648,000","611,000","43,131,922","70,592,343",-3
1,2020/10/29,"651,000","9,000","386,081","248,502,682,000","629,000","654,000","629,000","45,955,615","70,592,343",1
2,2020/10/28,"642,000","10,000","368,105","233,859,908,000","647,000","647,000","626,000","45,320,284","70,592,343",1
3,2020/10/27,"632,000","-14,000","261,388","165,655,102,000","633,000","641,000","627,000","44,614,361","70,592,343",-1
4,2020/10/26,"646,000","-4,000","264,208","169,125,435,000","645,000","650,000","634,000","45,602,654","70,592,343",0
5,2020/10/23,"650,000","11,000","405,718","261,534,502,000","646,000","650,000","633,000","45,885,023","70,592,343",1
6,2020/10/22,"639,000","22,000","512,433","325,160,484,000","623,000","642,000","621,000","45,108,507","70,592,343",2
7,2020/10/21,"617,000","-4,000","241,633","149,219,665,000","624,000","626,000","614,000","43,555,476","70,592,343",0
8,2020/10/20,"621,000","6,000","483,397","297,999,314,000","606,000","626,000","605,000","43,837,845","70,592,343",0
9,2020/10/19,"615,000","-25,000","473,127","294,032,499,000","642,000","642,000","614,000","43,414,291","70,592,343",-2
10,2020/10/16,"640,000","3,000","310,579","197,477,061,000","633,000","643,000","628,000","45,179,100","70,592,343",0
11,2020/10/15,"637,000","9,000","531,454","339,074,770,581","636,000","648,000","629,000","44,967,322","70,592,343",1
12,2020/10/14,"628,000","-16,000","725,349","456,427,621,000","642,000","644,000","620,000","44,331,991","70,592,343",-1
13,2020/10/13,"644,000","-28,000","678,451","441,945,740,000","675,000","678,000","640,000","45,461,469","70,592,343",-2
14,2020/10/12,"672,000","-20,000","551,057","374,403,953,000","680,000","692,000","670,000","47,438,054","70,592,343",-1
15,2020/10/08,"692,000","12,000","564,700","390,923,135,000","684,000","698,000","682,000","48,849,901","70,592,343",1
16,2020/10/07,"680,000","6,000","294,545","198,523,295,200","673,000","680,000","667,000","48,002,793","70,592,343",0
17,2020/10/06,"674,000","15,000","451,956","302,244,678,000","659,000","680,000","654,000","47,579,239","70,592,343",1
18,2020/10/05,"659,000","5,000","443,499","291,628,236,000","670,000","670,000","648,000","46,520,354","70,592,343",0
19,2020/09/29,"654,000","28,000","677,451","440,049,883,020","659,000","660,000","636,000","46,167,392","70,592,343",2
20,2020/09/28,"626,000","-1,000","367,111","229,967,225,000","636,000","639,000","616,000","44,190,807","70,592,343",0
21,2020/09/25,"627,000","16,000","493,489","305,561,509,000","621,000","630,000","604,000","44,261,399","70,592,343",1
22,2020/09/24,"611,000","-19,000","872,924","544,603,624,000","619,000","643,000","610,000","43,131,922","70,592,343",-2
23,2020/09/23,"630,000","-9,000","1,271,568","796,413,350,000","660,000","662,000","604,000","44,473,176","70,592,343",-1
